Provider,InscClaimAmtReimbursed_x,DeductibleAmtPaid_x,ClaimDuration_x,InpatientClaimCount,InscClaimAmtReimbursed_y,DeductibleAmtPaid_y,ClaimDuration_y,OutpatientClaimCount,Fraud
PRV51001,97000.0,5340.0,5.0,5.0,3760.0,0.0,1.0,11.0,0
PRV51003,573000.0,66216.0,5.161290322580645,62.0,19450.0,70.0,2.25,52.0,1
PRV51004,0.0,0.0,0.0,0.0,29390.0,80.0,1.2043010752688172,93.0,0
PRV51005,0.0,0.0,0.0,0.0,175220.0,2340.0,1.1956521739130435,736.0,1
PRV51007,19000.0,3204.0,5.333333333333333,3.0,5890.0,50.0,1.606060606060606,33.0,0
PRV51008,25000.0,2136.0,4.0,2.0,6250.0,180.0,1.2307692307692308,26.0,0
PRV51011,5000.0,1068.0,5.0,1.0,8450.0,60.0,0.7142857142857143,35.0,0
PRV51012,0.0,0.0,0.0,0.0,15350.0,100.0,4.6,35.0,0
PRV51013,0.0,0.0,0.0,0.0,10330.0,180.0,1.6206896551724137,29.0,0
PRV51014,0.0,0.0,0.0,0.0,9620.0,50.0,0.55,20.0,0
PRV51015,0.0,0.0,0.0,0.0,600.0,0.0,0.5,6.0,0
PRV51016,0.0,0.0,0.0,0.0,80.0,0.0,0.0,4.0,0
PRV51017,0.0,0.0,0.0,0.0,83470.0,470.0,1.3176100628930818,318.0,0
PRV51021,269000.0,30972.0,4.793103448275862,29.0,49350.0,300.0,1.5490196078431373,153.0,1
PRV51023,54000.0,8544.0,3.5555555555555554,9.0,10600.0,0.0,5.882352941176471,17.0,0
PRV51024,61000.0,9612.0,4.333333333333333,9.0,1880.0,70.0,0.058823529411764705,17.0,0
PRV51025,86000.0,13884.0,7.0,13.0,19110.0,200.0,1.3725490196078431,51.0,0
PRV51026,0.0,0.0,0.0,0.0,7440.0,110.0,1.3043478260869565,46.0,0
PRV51027,0.0,0.0,0.0,0.0,15420.0,0.0,1.6756756756756757,37.0,0
PRV51029,0.0,0.0,0.0,0.0,17520.0,90.0,0.6515151515151515,66.0,0
PRV51030,705600.0,86508.0,4.621951219512195,82.0,20790.0,0.0,2.418181818181818,55.0,0
PRV51031,329000.0,29904.0,5.535714285714286,28.0,23780.0,80.0,1.1962616822429906,107.0,0
PRV51032,0.0,0.0,0.0,0.0,1650.0,0.0,0.6,15.0,0
PRV51035,29000.0,1068.0,14.0,1.0,2040.0,260.0,1.619047619047619,21.0,0
PRV51036,0.0,0.0,0.0,0.0,59850.0,1220.0,1.1832460732984293,191.0,0
PRV51037,214000.0,24564.0,4.521739130434782,23.0,78020.0,880.0,1.091549295774648,284.0,1
PRV51038,229600.0,30972.0,4.033333333333333,30.0,20300.0,150.0,1.7647058823529411,68.0,0
PRV51040,63000.0,8544.0,10.555555555555555,9.0,6000.0,140.0,0.7333333333333333,45.0,0
PRV51041,0.0,0.0,0.0,0.0,2510.0,80.0,1.6666666666666667,24.0,0
PRV51042,0.0,0.0,0.0,0.0,29420.0,130.0,1.7710843373493976,83.0,0
PRV51043,0.0,0.0,0.0,0.0,2790.0,0.0,0.0,14.0,0
PRV51044,0.0,0.0,0.0,0.0,14840.0,130.0,1.8974358974358974,39.0,0
PRV51045,0.0,0.0,0.0,0.0,4460.0,40.0,1.2083333333333333,24.0,0
PRV51046,101000.0,8544.0,4.5,8.0,4560.0,100.0,1.4705882352941178,17.0,0
PRV51047,0.0,0.0,0.0,0.0,2130.0,0.0,2.625,8.0,0
PRV51048,19000.0,4272.0,4.75,4.0,3890.0,0.0,0.23529411764705882,17.0,0
PRV51049,0.0,0.0,0.0,0.0,18150.0,190.0,2.441860465116279,43.0,0
PRV51052,14000.0,2136.0,9.0,2.0,11550.0,210.0,2.6451612903225805,31.0,1
PRV51053,8000.0,1068.0,5.0,1.0,0.0,0.0,0.0,0.0,0
PRV51054,0.0,0.0,0.0,0.0,9350.0,140.0,1.1538461538461537,39.0,0
PRV51055,16700.0,2136.0,5.5,2.0,4730.0,70.0,0.11764705882352941,17.0,0
